Title,Author,Genre,SubGenre,Publisher,features,Image
Devil's Advocate,"West, Morris",fiction,novel,other,"Devil's Advocate, The, West, Morris, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550189260i/44012999.jpg
Ayn Rand Answers,"Rand, Ayn",philosophy,objectivism,other,"Ayn Rand Answers, Rand, Ayn, philosophy, objectivism, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436740782i/666.jpg
Philosophy: Who Needs It,"Rand, Ayn",philosophy,objectivism,other,"Philosophy: Who Needs It, Rand, Ayn, philosophy, objectivism, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309284474i/843433.jpg
World's Great Thinkers,other,science,physics,other,"World's Great Thinkers, The, other, science, physics, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385696287i/15870302.jpg
Data Analysis with Open Source Tools,"Janert, Phillip",tech,data science,other,"Data Analysis with Open Source Tools, Janert, Phillip, tech, data science, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354901717i/8360735.jpg
Broca's Brain,"Sagan, Carl",science,physics,other,"Broca's Brain, Sagan, Carl, science, physics, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348602662i/485812.jpg
Men of Mathematics,"Bell, E T",science,mathematics,other,"Men of Mathematics, Bell, E T, science, mathematics, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395630205i/66358.jpg
Oxford book of Modern Science Writing,"Dawkins, Richard",science,science,other,"Oxford book of Modern Science Writing, Dawkins, Richard, science, science, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348588406i/2324327.jpg
Justice,"Ranjan, Sudhanshu",nonfiction,legal,other,"Justice, Judiciary and Democracy, Ranjan, Sudhanshu, nonfiction, legal, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1635827409i/20342617.jpg
Arthashastra,Kautiyla,philosophy,philosophy,other,"Arthashastra, The, Kautiyla, philosophy, philosophy, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428846538i/1769362.jpg
We the People,Palkhivala,philosophy,philosophy,other,"We the People, Palkhivala, philosophy, philosophy, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549393502i/43848929.jpg
We the Nation,Palkhivala,philosophy,philosophy,other,"We the Nation, Palkhivala, philosophy, philosophy, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267053245i/2721937.jpg
Courtroom Genius,Sorabjee,nonfiction,autobiography,other,"Courtroom Genius, The, Sorabjee, nonfiction, autobiography, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422969809i/15709161.jpg
Dongri to Dubai,"Zaidi, Hussain",nonfiction,history,other,"Dongri to Dubai, Zaidi, Hussain, nonfiction, history, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338160153i/13637470.jpg
History of England,"Ackroyd, Peter",nonfiction,history,other,"History of England, Foundation, Ackroyd, Peter, nonfiction, history, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514005789i/13539185.jpg
City of Djinns,"Dalrymple, William",nonfiction,history,other,"City of Djinns, Dalrymple, William, nonfiction, history, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327731460i/124430.jpg
India's Legal System,Nariman,nonfiction,legal,other,"India's Legal System, Nariman, nonfiction, legal, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356456460i/4597119.jpg
More Tears to Cry,"Sassoon, Jean",fiction,novel,other,"More Tears to Cry, Sassoon, Jean, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410280565i/23176535.jpg
Ropemaker,"Dickinson, Peter",fiction,novel,other,"Ropemaker, The, Dickinson, Peter, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320393182i/289590.jpg
Angels & Demons,"Brown, Dan",fiction,novel,other,"Angels & Demons, Brown, Dan, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639587647i/960.jpg
Judge,other,fiction,novel,other,"Judge, The, other, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359827132i/5267365.jpg
Attorney,other,fiction,novel,other,"Attorney, The, other, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327933063i/6642402.jpg
Prince,Machiavelli,fiction,classic,other,"Prince, The, Machiavelli, fiction, classic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1.jpg
Eyeless in Gaza,"Huxley, Aldous",fiction,novel,other,"Eyeless in Gaza, Huxley, Aldous, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433092475i/261004.jpg
Tales of Beedle the Bard,"Rowling, J K",fiction,novel,other,"Tales of Beedle the Bard, Rowling, J K, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630876355i/3950967.jpg
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,novel,other,"Girl with the Dragon Tattoo, Larsson, Steig, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868566i/2429135.jpg
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,novel,other,"Girl who kicked the Hornet's Nest, Larsson, Steig, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327708260i/6892870.jpg
Girl who played with Fire,"Larsson, Steig",fiction,novel,other,"Girl who played with Fire, Larsson, Steig, fiction, novel, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881i/5060378.jpg
Batman Handbook,other,fiction,comic,other,"Batman Handbook, other, fiction, comic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442381220i/107027.jpg
Murphy's Law,other,philosophy,psychology,other,"Murphy's Law, other, philosophy, psychology, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388519227i/383512.jpg
Structure and Randomness,"Tao, Terence",science,mathematics,other,"Structure and Randomness, Tao, Terence, science, mathematics, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332367312i/6135270.jpg
Image Processing with MATLAB,"Eddins, Steve",tech,signal processing,other,"Image Processing with MATLAB, Eddins, Steve, tech, signal processing, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266946799i/1980317.jpg
Animal Farm,"Orwell, George",fiction,classic,other,"Animal Farm, Orwell, George, fiction, classic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg
Idiot,"Dostoevsky, Fyodor",fiction,classic,other,"Idiot, The, Dostoevsky, Fyodor, fiction, classic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1626318955i/12505.jpg
Christmas Carol,"Dickens, Charles",fiction,classic,other,"Christmas Carol, A, Dickens, Charles, fiction, classic, other",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406512317i/5326.jpg
Programming Collective Intelligence: Building Smart Web 2.0 Applications,Toby Segaran,tech,Data Science,O’Reilly Media,"Programming Collective Intelligence: Building Smart Web 2.0 Applications,Toby Segaran,tech,Data Science,O’Reilly Media",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371685521i/1741472.jpg
Black Holes: The Reith Lectures,Stephen Hawking ,Friction,Science,Bantam,"Black Holes: The Reith Lectures,Stephen Hawking ,Friction,Science,Bantam",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560566964i/29537175.jpg
